,output
11332,"(자격증) AutoCAD(오토캐드)2D 기초부터 캐드실무능력평가2급
(15360) 경기도 안산시 단원구 고잔2길 41 (고잔동 신양복합빌딩) 405~407호, 502호 
031-405-1255
ansan@himedia.co.kr
391,800 원
총60시간"
11333,"한식조리기능사 자격취득과정(실기+필기)
(28647) 충청북도 청주시 서원구 사직대로 126 (사창동) 2, 3, 4, 5층 
043-273-6500
cook3002@hanmail.net
834,800 원
총98시간"
11334,"피부미용사국가자격증취득과정
(500830) 광주광역시 북구 서암대로 190 3층 
062-512-1744
everycon@hanmail.net
1,766,180 원
총260시간"
11335,"라떼아트 초급 & 홈카페 마스터 과정
(61218) 광주광역시 북구 우치로 15 2층 일부 
062-511-0588
bleu07@hanmail.net
554,400 원
총72시간"
11336,"(사무행정)엑셀을 활용한 실무 문서작성
(08288) 서울특별시 구로구 새말로 97 (구로동 신도림테크노마트) 6층 일부 
02-2111-2000
vucaleader@naver.com
120,000 원
총20시간"
11337,"재)일식조리기능사 취득과정(실기)
(13627) 경기도 성남시 분당구 구미동 돌마로 86(엘레강스프라자) 501호,504호,505호,506호,509호 일부 
031-753-0136
snfood0136@naver.com
419,200 원
총42시간"
11338,"산업지능형 사물인터넷(IIoT) 개발자 양성과정
(37743) 경상북도 포항시 북구 죽도동 죽도로20번길 28(경북직업전문학교) 재단법인 이찬 경북직업전문학교 본관 
054-272-2828
kbjc1153@naver.com
8,640,420 원
총1004시간"
11339,"반려견스타일리스트(애견미용) 2급 자격증 취득과정
(10113) 경기도 김포시 김포대로679번길 14-2 (풍무동) 2층, 3층 
031-988-0061
greenjigi76@naver.com
2,118,400 원
총320시간"
11340,"컴퓨터활용능력
(54659) 전라북도 익산시 고현로7길 10 (모현동1가) 301호, 302호(모현동1가) 
063-853-1909
jog4130@hanmail.net
288,000 원
총48시간"
11341,"주얼리 왁스카빙 입문과정
(07291) 서울특별시 영등포구 영등포로 106 102동 210호 (당산동2가, 대우아파트) 
02-2672-5872
brillij@hanmail.net
457,280 원
총54시간"
11342,"전자출판물 제작 입문
(04100) 서울특별시 마포구 백범로 18 (노고산동 미화빌딩) 6,7,8층 
02-3279-0903
hwkim1205@hanien.co.kr
280,000 원
총16시간"
11343,"유튜브(YouTube)크리에이터(영상콘텐츠편집)
(47296) 부산광역시 부산진구 동천로 55 (부전동) 5층 
051-808-6050
edu4hrd@naver.com
254,640 원
총36시간"
11344,"『일러스트』편집디자인(시각,광고)디자인 실무활용 및 GTQ 2급 자격증
(03192) 서울특별시 종로구 수표로 96 (관수동 국일관드림펠리스) 2층, 5층 일부 그린컴퓨터아트학원 
02-722-2111
darker75@gmail.com
269,880 원
총39시간"
11345,"컴퓨터활용능력1급(자격증취득과정)
(54545) 전라북도 익산시 고봉로 308 (영등동) 창성빌딩 (3층) 
063-833-3125
zse999@naver.com
780,000 원
총130시간"
11346,"엘리스 클라우드(자바/스프링) 기반 백엔드 엔지니어 트랙
(06212) 서울특별시 강남구 선릉로 433 6층 신관 
070-4633-4851
kdt@elice.io
17,424,000 원
총960시간"
11347,"간호조무사자격증취득과정
(08629) 서울특별시 금천구 시흥대로 202 (시흥동 대의빌딩) 2층 일부 
02-807-8254
ganho@nurse1004.co.kr
3,450,400 원
총1520시간"
11348,"미용사(일반) 기능사 자격증 취득과정
(28545) 충청북도 청주시 상당구 사직대로361번길 30 (북문로2가) 302호, 4층전체 
043-221-5954
encxz@hanmail.net
1,992,760 원
총308시간"
11349,"제과제빵사 양성과정
(58663) 전라남도 목포시 옥암로 94 (옥암동) 2층, 3층 
061-281-4114
mocasoda@nate.com
1,224,000 원
총180시간"
11350,"미용사(일반) 국가자격증 과정
(54932) 전라북도 전주시 덕진구 백제대로 490-1 (덕진동1가) 3층, 2층 일부 
063-271-5505
siaent3333@siagroup.co.kr
1,455,750 원
총225시간"
11351,"가구제작기능사
(44705) 울산광역시 남구 삼산중로114번길 9-1 (삼산동) 2층, 4층/ 울산 북구 신천동 724번지 
052-256-7176
daechup1@naver.com
574,560 원
총72시간"
11352,"포토샵 GTQ 그래픽 자격 취득
(13637) 경기도 성남시 분당구 성남대로 36 (구미동) 계산빌딩 4층, 5층 
031-718-5000
ist151@naver.com
228,360 원
총33시간"
11353,"헤어실무과정(남자커트)
(54629) 전라북도 익산시 보석로 94 애림직업전문학교 
063-855-4438
spb007@naver.com
352,330 원
총39시간"
11354,"요양보호사 자격 취득 과정
(51370) 경상남도 창원시 의창구 평산로219번길 13 2층 
055-255-3806
woori2142@naver.com
800,000 원
총320시간"
11355,"컴퓨터활용능력1급자격증(필기,실기)
(17885) 경기도 평택시 평택5로 84 (비전동) 4층 일부(비전동) 
031-692-2810
nkj2018@naver.com
672,000 원
총112시간"
11356,"요양보호사 자격취득 과정
(50536) 경상남도 양산시 서창로 65 (명동 서광빌딩) 3층 
055-384-8251
nomchon@naver.com
960,000 원
총320시간"
11357,"미용사(네일) 자격증 취득
(13991) 경기도 안양시 만안구 안양로 336 (안양동 금강빌딩) 1201호 
031-465-9590
asfirst100@naver.com
1,811,600 원
총280시간"
11358,"이용사 자격증 취득과정(실기)
(05668) 서울특별시 송파구 송파대로 398 (송파동) (2층,4층,5층,6층) 
02-416-9121
4169121@hanmail.net
1,238,720 원
총176시간"
11359,"속눈썹 현장 실무(연장&펌)
(31104) 충청남도 천안시 서북구 봉정로 346 (두정동) 메트로빌딩 3층 나레스트 천안 미용학원 
041-551-7551
narest7551@naver.com
252,330 원
총39시간"
11360,"[사무행정]퍼펙트 컴퓨터활용능력1급 자격증 취득과정(컴활)
(61468) 광주광역시 동구 백서로175번길 8 (서석동) (1-5층) 
062-223-6123
eun0788@hanmail.net
720,000 원
총120시간"
11361,"미용사(피부) 자격증취득
(301838) 대전광역시 중구 중앙로 153-1 운성빌딩 6층, 7층 
042-253-5580
ogopa1@hanmail.net
1,617,500 원
총250시간"
11362,"전기기능사 필기 취득과정
(44648) 울산광역시 남구 거마로5번길 7 2층 
070-8197-1119
topelec0119@naver.com
480,560 원
총48시간"
11363,"요양보호사 국가자격증 취득과정(신규자)
(05744) 서울특별시 송파구 오금로 483 흥진빌딩3층 
02-402-0093
tklovedrea@naver.com
752,000 원
총320시간"
11364,"핀테크 서비스 기획 및 데이터 분석 전문가 성장 과정
(13487) 경기도 성남시 분당구 판교로 242 (삼평동) PDC A동 9층 
031-600-8586
alex.kim@goorm.io
17,424,000 원
총960시간"
11365,"[초보자,비전공자] 전산회계1급+전산세무2급 자격증 합격반
(07702) 서울특별시 강서구 강서로 188 삼화빌딩 3층 
02-2065-0508
binihouse69@naver.com
787,200 원
총120시간"
11366,"반찬조리실무과정
(18412) 경기도 화성시 경기대로 1025-5 (병점동 병점제일타운) 202호~204호, 207호 
031-226-7247
wocookb@gmail.com
308,000 원
총30시간"
11367,"카페구움과자 및 앙뜨르메(디저트) 마스터과정
(01447) 서울특별시 도봉구 노해로60길 86 (쌍문동) 김상엽제과제빵학원1층~ 3층 
02-991-1543
kimsbaking@naver.com
285,600 원
총42시간"
11368,"바리스타2급취득과정+카페음료제조&제과디저트
(61116) 광주광역시 북구 북문대로 42 5층 일부 
062-710-7879
nm870630@naver.com
770,000 원
총100시간"
11369,"반찬조리 실무과정
(52753) 경상남도 진주시 촉석로 203 5/6층 뉴영남요리제과제빵아카데미 
055-747-5000
cooki0517@korea.com
342,000 원
총45시간"
11370,"컴퓨터활용능력1급(필기,실기) 취득
(28510) 충청북도 청주시 상당구 상당로144번길 16 (수동) 2층 
043-903-7997
01054928330@daum.net
672,000 원
총112시간"
11371,"카페디저트&구움과자(스콘,에끌레어,슈,타르트,머핀)
(47295) 부산광역시 부산진구 중앙대로 694 (부전동 쥬디스태화) 7층 
051-911-8800
isw9045@naver.com
489,600 원
총72시간"
11372,"[풀스택] 랭체인(LLM)을 활용한 생성형 인공지능(AI) 서비스 웹앱 개발과정(자바,파이썬)
(14644) 경기도 부천시 부천로 4 (심곡동) 5층 
032-654-2111
soriro777@gmail.com
9,493,000 원
총1000시간"
11373,"컴퓨터활용능력2급자격증(필기+실기)
(21389) 인천광역시 부평구 경원대로 1369 (부평동 태광빌딩) 5층, 6층 
032-343-4927
bcwooriit@naver.com
600,000 원
총100시간"
11374,"조경기능사 자격취득과정(실기)
(24368) 강원도 춘천시 우묵길52번길 24 동명빌딩 2층 
033-256-8135
gwf_academy@naver.com
491,040 원
총72시간"
11375,"화훼장식기능사 국가자격증(실기) B반
(04102) 서울특별시 마포구 백범로1길 14 (노고산동 OMF 마이스터 하우스) 1, 2, 3층 
02-704-8641
omfkorea@naver.com
560,000 원
총56시간"
11376,"제과제빵기능사취득과정(이론+실기)
(621250) 경상남도 김해시 장유로 226 신화빌딩 702호 
055-312-9340
juvilea@naver.com
1,332,800 원
총196시간"
11377,"[주간]요양보호사 자격증 취득과정(1강의실)
(01062) 서울특별시 강북구 도봉로 296 (번동 양덕빌딩 ) 7층 
02-905-8253
hihspark@naver.com
848,000 원
총320시간"
11378,"SCA 국제 바리스타 자격증 취득반 (초급 + 중급)
(50966) 경상남도 김해시 선지로58번길 13 성준빌딩 4층 
070-8844-2468
coffeemasterhan@naver.com
859,320 원
총72시간"
11379,"블로그&유튜브 영상편집
(38146) 경상북도 경주시 화랑로 135 (성동동 경주지업사) 3층 . 
054-749-5949
thgus9844@naver.com
252,900 원
총45시간"
11380,"[구직자/근로자]캐드기초부터 CAD자격증취득
(41529) 대구광역시 북구 동북로 275 (복현동) 2층~4층 
053-954-4771
whdals0219@naver.com
326,500 원
총50시간"
11381,"양식브런치카페실무과정
(48242) 부산광역시 수영구 연수로 386 국민은행빌딩3층 
051-757-5522
hoonmsn@naver.com
364,800 원
총48시간"
11382,"커피바리스타2급 자격증 취득(필기+실기)
(41958) 대구광역시 중구 명륜로23길 106 5층 504호 
053-716-5744
edumam@mambogroup.co.kr
405,920 원
총45시간"
11383,"화훼장식기능사 국가자격증 취득 전문과정(이론+실기)
(38084) 경상북도 경주시 황성로 35-3 (황성동) 광림프라자 5F 501호 
054-776-1191
flowerart02@nate.com
970,320 원
총84시간"
11384,"컴퓨터 기초(윈도우/인터넷) & 오피스(OA) 기초(한글/파워포인트/엑셀)
(21039) 인천광역시 계양구 경명대로 1051 (계산동 계림빌딩) 5층 일부, 6층 일부 
032-881-7600
mymun101@naver.com
600,000 원
총100시간"
11385,"전산세무2급 취득-B
(442870) 경기도 수원시 팔달구 덕영대로697번길 7 , 505호(화서동,아트프라자) 
031-253-4542
sutop-osb@naver.com
432,960 원
총66시간"
11386,"요양보호사 자격 취득과정(표준 야간과정)
(31123) 충청남도 천안시 동남구 만남로 38 (신부동 도솔빌딩) 6층 일부 (천안경희간호학원부설 요양보호사교육원) 
041-565-0775
hyunju7224@naver.com
900,000 원
총320시간"
11387,"피부미용 자격증 취득과정
(07715) 서울특별시 강서구 화곡로 164 (화곡동 화곡빌딩) 6층, 8층(일부), 9층 
02-2602-7888
jgilsan1@hanmail.net
1,733,960 원
총268시간"
11388,"초경량비행장치(드론)조종자격 취득과정
(52900) 경상남도 고성군 월아산로76번길 16 (영오면) 영진기술교육원 
055-758-2460
yjet2005@naver.com
1,287,000 원
총180시간"
11389,"카페 바리스타 실무 과정(카페 바리스타2급)
(28516) 충청북도 청주시 상당구 용담로 7 센트럴칸타빌 상가2층 220호, 221호 
043-223-2030
baristaschool@naver.com
800,000 원
총60시간"
11390,"요양보호사자격증취득과정
(143914) 서울시 광진구 화양동 (화양동) 7-3번지 한림타워 4층 406 
02-2115-6622
gj-care@naver.com
880,000 원
총320시간"
11391,"OA실무,ITQ(워드한글+파워포인트) 취득
(16698) 경기도 수원시 영통구 영통로213번길 6 (영통동) 5층 일부 
031-204-2525
suwon-it@naver.com
240,000 원
총40시간"
11392,"컴퓨터활용능력실기
(38655) 경상북도 경산시 대학로12길 21-2 (정평동) 2층 
053-812-0550
tae8970@naver.com
272,610 원
총39시간"
11393,"캘리그라피 자격증(기초)
(03484) 서울특별시 은평구 응암동 가좌로 233(연희타워) 3층 
02-382-8851
hsyseo000@naver.com
367,200 원
총60시간"
11394,"(산대특)_생성형 AI(챗GPT, 미드저니)를 활용한 디지털 출판편집 제작_양성_지원
(14644) 경기도 부천시 부천로 4 (심곡동) 5층 
032-654-2111
soriro777@gmail.com
5,226,670 원
총581시간"
11395,"네일실무&드릴과정
(730932) 경상북도 구미시 인동가산로 9-3 7층 
054-475-0153
psb204@nate.com
1,185,250 원
총75시간"
11396,"피부미용자격증취득과정
(41870) 대구광역시 서구 달구벌대로375길 33 (내당동) 2층 
053-552-2800
jh_beauty@naver.com
1,941,000 원
총300시간"
11397,"전산회계1급 자격증 취득과정
(41870) 대구광역시 서구 달구벌대로375길 33 (내당동) 2층 
053-552-2800
jh_beauty@naver.com
1,941,000 원
총300시간"
11398,"(속성)미용사(네일) 자격증 취득과정
(62234) 광주광역시 광산구 풍영로101번안길 19-14 소망빌딩 4층 일부 
062-953-0153
2brightlaw@gmail.com
1,552,800 원
총240시간"
11399,"(산대특)_Python(파이썬)웹 프로그래밍 반응형 E-commerce 구축 풀스택(front-end + back-end)
(44693) 울산광역시 남구 삼산로 111 (달동) 5층, 6층 
052-227-4000
ubc2022@naver.com
5,421,780 원
총630시간"
11400,"(산대특)AI(리터러시&활용)융합 자바(JAVA)기반 풀스택 개발자(React.js, Springboot, Python)_양성_육성
(08216) 서울특별시 구로구 구로동 경인로 557 삼영빌딩 4층 
02-3667-0008
guro@himedia.co.kr
8,606,000 원
총1000시간"
11401,"맥스(3D MAX, V-RAY)-모델링, 렌더링, 브이레이
(55000) 전라북도 전주시 완산구 팔달로 184 (경원동1가 관통빌딩) 2층 전체 
063-232-2111
yjhgogo@naver.com
409,200 원
총60시간"
11402,"제과기능사 자격증 취득반(이론+실기+모의고사)
(47877) 부산광역시 동래구 충렬대로238번길 7 (수안동 성완세띠앙) 7층 711호 
051-553-4300
queen5522@hanmail.net
630,000 원
총75시간"
11403,"산모신생아건강관리사(신규과정)
(51515) 경상남도 창원시 성산구 용지로 102 3층3호 참사랑어머니회 
055-293-5008
eju1992@naver.com
387,600 원
총60시간"
11404,"공동주택인사회계실무자양성
(04715) 서울특별시 성동구 왕십리로21길 9 (행당동) 유진빌딩4층 
02-2232-4794
49250-74@hanmail.net
950,000 원
총108시간"
11405,"오라클 & 자바 프레임워크 활용 소프트웨어 웹 개발자 양성과정
(08390) 서울특별시 구로구 디지털로30길 31 코오롱디지털타워빌란트2차 204, 205호 
02-6925-4760
shs@g-spec.co.kr
1,853,600 원
총280시간"
11406,"클립 스튜디오 페인트 EX로 웹툰 만들기
(700060) 대구 중구 남일동 109-2 2필지 제일빌딩 5층 
053-572-1005
sanghee1022@nate.com
243,360 원
총39시간"
11407,"전기기능사실기과정
(413826) 경기도 파주시 후곡로 3 현인메트로4층(구. 금촌동 952-6 금촌로타리) 
031-945-4345
hwangdesik@naver.com
616,500 원
총90시간"
11408,"온수온돌기능사 자격 취득 실기(온수코일설치+바닥마감)
(08371) 서울특별시 구로구 도림로20길 18 3층 일부(구로동) 
02-839-2005
aoohappy@naver.com
342,120 원
총16시간"
11409,"입문자를 위한 디지털 2D그래픽 실무 [일러스트&포토샵]
(08378) 서울특별시 구로구 디지털로 306 (구로동 대륭포스트타워2차) 203호 일부,205호,212호 
02-838-1689
suave0@tjoeun.co.kr
397,200 원
총60시간"
11410,"한식조리기능사 취득 및 반찬조리 실무
(18455) 경기도 화성시 동탄문화센터로 61 (반송동 아시아 프라자) 208호, 209호, 602호, 603호 (별관)경기도 화성시 동탄오산로 86-11, 302호, 303호, 304호 
031-613-2033
cook0743@naver.com
820,000 원
총100시간"
11411,"헤어커트와 볼륨매직 아이론 펌
(17370) 경기도 이천시 애련정로103번길 31-12 2층 
031-638-2005
65debut@naver.com
388,200 원
총60시간"
11412,"패션가죽제품제작 소품A
(53252) 경상남도 거제시 거제중앙로29길 10 (고현동) 3층 (태화빌딩) 
055-687-5579
hj7826@naver.com
258,180 원
총39시간"
11413,"전산회계1급 자격증취득과정
(01176) 서울특별시 강북구 도봉로 143 3층 
02-981-1186
9811186@naver.com
393,600 원
총60시간"
11414,"조경기능사 자격취득과정(실기)
(38133) 경상북도 경주시 금성로395번길 32 (성건동 천마축우회) 2층/야외실습장:효현동572-4(942.8 제곱미터) 
054-748-6777
moguly70@gmail.com
757,020 원
총111시간"
11415,"요양보호사자격취득과정(사회복지사)
(18471) 경기도 화성시 동탄대로 599 지엘프라자 403.404호 
031-8055-8835
2dong-tan@naver.com
250,000 원
총50시간"
11416,"요양보호사 자격 취득과정(신규자 과정)
(50948) 경상남도 김해시 내외중앙로 89 302.303호 
055-264-0515
leaders0426@naver.com
832,000 원
총320시간"
11417,"굴착기 자격취득 실기(야간반)
(58028) 전라남도 순천시 양율길 166 (대룡동 순천중장비학원) 순천중장비학원 
061-745-8080
fly2034@hanmail.net
543,900 원
총75시간"
11418,"전산회계1급(기초포함):실업자+근로자
(704906) 대구광역시 달서구 성당로 283 (두류동) 2층, 3층 
053-652-6121
jujum99@hanmail.net
524,800 원
총80시간"
11419,"회계사무원(전산회계 1급, 전산세무 2급, 더존 i-Plus FAT 1급 자격증 취득)취업과정
(46968) 부산광역시 사상구 사상로 200 (괘법동 엠시티빌딩) 8층 
051-305-7766
zeus333z@naver.com
1,246,400 원
총190시간"
11420,"간호조무사 자격증 취득과정 (야간)
(16703) 경기도 수원시 영통구 봉영로 1605 (영통동 모던타운) 414호, 510호 
031-202-1145
2binghi@hanmail.net
3,648,000 원
총1520시간"
11421,"헤어미용자격증 및 실무
(54662) 전라북도 익산시 익산대로 171 중앙미용학원 2층 
063-841-8866
seo1340@naver.com
2,070,400 원
총320시간"
11422,"케이크 데코 기초 과정
(62234) 광주광역시 광산구 사암로 426 (흑석동) 4층 
062-955-3477
rara_cake_school@naver.com
408,000 원
총60시간"
11423,"요양보호사 자격 취득과정
(16969) 경기도 용인시 기흥구 신갈로 64 (신갈동 한양빌딩) 2층,3층 
031-281-7465
markhuh@naver.com
880,000 원
총320시간"
11424,"전산회계2급+ERP회계2급 취득 과정
(31480) 충청남도 아산시 배방로14번길 15 2층 
041-543-2030
onsemu2030@naver.com
472,320 원
총72시간"
11425,"(산대특) 자바 프로젝트기반 생성형AI 챗봇(금융/공공)개발자 과정(양성)
(410837) 경기도 고양시 일산동구 중앙로1275번길 38-10 201호 (장항동,우림로데오스위트) 
031-902-1777
tjoeunis@naver.com
7,229,040 원
총840시간"
11426,"요양보호사 표준교육과정(신규자)
(36953) 경상북도 문경시 중앙로 33 (모전동) 2층 
054-555-8856
chamee2268@hanmail.net
902,400 원
총320시간"
11427,"[엔비디아] NVIDIA AI Academy
(06160) 서울특별시 강남구 테헤란로69길 5 (삼성동) DT센터 
02-2624-0119
jschoe@ksa.or.kr
17,424,000 원
총960시간"
11428,"드론 자격증 취득과정(이론+실기)(평일반)
(42769) 대구광역시 달서구 비슬로538길 16 (대곡동) 2층 (실기 : 경상북도 구미시 공단동 437번지) 
053-634-7010
daegudrone@naver.com
1,500,000 원
총120시간"
11429,"전기기능사 자격취득(실기)
(58663) 전라남도 목포시 옥암로 94 (옥암동) 2층, 3층 
061-281-4114
mocasoda@nate.com
657,600 원
총96시간"
11430,"『초단기완성』 유튜브(Youtube)영상편집 입문과정
(06130) 서울특별시 강남구 테헤란로5길 24 (역삼동) 3층~7층 
02-3481-1005
hyunju9062@nate.com
149,760 원
총24시간"
11431,"입문자를 위한 디지털 웹퍼블리셔 [HTML5&CSS3]
(08378) 서울특별시 구로구 디지털로 306 (구로동 대륭포스트타워2차) 203호 일부,205호,212호 
02-838-1689
suave0@tjoeun.co.kr
397,200 원
총60시간"
11432,"100시간만에 끝내는 유튜브(Youtube) 영상편집 (다빈치 리졸브 활용)
(07995) 서울특별시 양천구 목동서로 225 (목동 대한민국예술인센터) 20층 
02-2655-3005
shane357@naver.com
624,000 원
총100시간"
11433,"의류제작 실무과정
(703812) 대구광역시 서구 국채보상로 433 3층 
053-556-8883
lyh9660@naver.com
1,324,000 원
총200시간"
11434,"커피바리스타자격증취득 및 홈카페마스터(핸드드립)과정
(47229) 부산광역시 부산진구 중앙대로 902 (양정동) 찬영빌딩 3층 일부 
051-851-7002
cntbarista@naver.com
415,800 원
총54시간"
11435,"요양보호사 자격 취득과정 실업자 (신규자)
(51304) 경상남도 창원시 마산회원구 3·15대로 645 5층 대교뉴이프 
055-713-9209
jin.seon_kim@daekyo.co.kr
851,200 원
총320시간"
11436,"[커피관리] 커피바리스타1급 자격취득과정&라떼아트 실무
(61468) 광주광역시 동구 백서로175번길 8 (서석동) (1-5층) 
062-223-6123
eun0788@hanmail.net
762,300 원
총99시간"
11437,"한식조리기능사 자격증 취득
(656304) 경남 거제시 고현동 961-21 명성빌딩 6층 
055-636-8168
stone372@hanmail.net
790,020 원
총99시간"
11438,"미용사 (피부) 자격증 취득(단기반)
(47297) 부산광역시 부산진구 동천로 62 흥국생명빌딩 4층 
051-714-3060
lauren123123@naver.com
1,242,240 원
총192시간"
11439,"전산회계1급 및 전산세무2급 자격취득
(48304) 부산광역시 수영구 광남로 70 (남천동) 2,5,6층 (본관) 및 부산광역시 수영구 광남로 74 2,3층 (별관) 
051-631-1175
jkim7346@gmail.com
1,272,640 원
총194시간"
11440,"펫푸드(수제간식) 만들기
(28647) 충청북도 청주시 서원구 사직대로 126 (사창동) 2, 3, 4, 5층 
043-273-6500
cook3002@hanmail.net
396,400 원
총39시간"
11441,"굴착기, 지게차 자격증 취득과정 (이론+실기)
(33449) 충청남도 보령시 중앙로 187 -70 
041-936-9999
br936@hanmail.net
1,452,000 원
총200시간"
11442,"플로리스트 입문기초
(15808) 경기도 군포시 엘에스로 153-8 (산본동 금정하이뷰) 304호 
031-398-3388
flowerpf@naver.com
546,880 원
총56시간"
11443,"(근로자) 친환경 원목가구제작
(791845) 경상북도 포항시 북구 희망대로659번길 82 한동직업전문학교 
054-277-3118
handong3118@daum.net
502,740 원
총63시간"
11444,"요양보호사 자격 취득 과정-실업자
(08777) 서울특별시 관악구 남부순환로 1620 (신림동) 한수빌딩 5층 
02-873-2011
620psh@naver.com
920,000 원
총320시간"
11445,"단기완성 전산회계1급 자격증
(22643) 인천광역시 서구 원당대로 673 (마전동) 4층일부, 5층 일부 (마전동, 태한빌딩) 
032-562-0098
yh359@daum.net
393,600 원
총60시간"
11446,"호텔객실관리사(호텔 룸메이드)
(08295) 서울특별시 구로구 공원로 63 (구로동 희훈타워빌) 2층 
02-867-4456
guro@seoulwomanup.or.kr
157,800 원
총20시간"
11447,"ITQ(한글,엑셀,파워포인트)취득 과정
(63178) 제주특별자치도 제주시 서사로 81 (삼도이동) (B1, 2층일부) 
064-725-5546
ychan119@daum.com
450,000 원
총75시간"
11448,"컴퓨터활용능력2급취득(실기)
(54659) 전라북도 익산시 고현로7길 10 (모현동1가) 301호, 302호(모현동1가) 
063-853-1909
jog4130@hanmail.net
270,000 원
총45시간"
11449,"코바늘손뜨개소품제작(기초)
(17026) 경기도 용인시 처인구 포곡읍 포곡로61번길 6(인정멜로디상가) 208호 209호 
031-339-3280
happyhands_yongin@naver.com
574,560 원
총72시간"
11450,"컴퓨터활용능력 2급 (필기 + 실기) 자격증 취득과정
(28575) 충청북도 청주시 서원구 사직대로 109 (사창동) 3,4,5층 
043-225-2111
greencju@naver.com
600,000 원
총100시간"
11451,"카페 디저트와 케이크 데코레이션 실무(실기)A
(46726) 부산광역시 강서구 명지국제2로28번길 34 707호, 708호 
051-203-8668
eunhye307@naver.com
680,000 원
총100시간"
11452,"멀티잇 데이터분석&프롬프트 엔지니어링(Python)
(06220) 서울특별시 강남구 테헤란로 212 (역삼동 멀티캠퍼스) 2~3각층 전체, 5~17각층 전체 
02-1544-9001
kyungmi416.park@multicampus.com
15,246,000 원
총840시간"
11453,"[음식요리]양식조리(브런치&파스타)실무과정
(61468) 광주광역시 동구 백서로175번길 8 (서석동) (1-5층) 
062-223-6123
eun0788@hanmail.net
478,800 원
총63시간"
11454,"요양보호사 국가자격증 취득훈련과정(신규자 표준과정)
(21404) 인천광역시 부평구 경원대로 1422 (부평동 대덕아크로존) 2층 
032-503-3740
kimkn129@hanamil.net
848,000 원
총320시간"
11455,"요양보호사 자격취득 과정
(16860) 경기도 용인시 수지구 성복2로 17 109호(성복동, 골드프라자1) 
031-548-1067
saebit1067@naver.com
880,000 원
총320시간"
11456,"(야간 및 주말반)-커피바리스타 2급+1급 자격증과정(라떼아트,핸드드립 포함)
(61619) 광주광역시 남구 월산로151번길 2 4층 
062-367-7373
everycon@hanmail.net
616,000 원
총80시간"
11457,"제과실기 과정
(07222) 서울특별시 영등포구 당산로 237 (당산동6가 그린빌) , 2층 
02-2065-0066
eubaking@naver.com
360,000 원
총39시간"
11458,"실내건축기능사 취득(실기)
(540190) 전남 순천시 장천동 63-1번지 3층 
061-744-2153
yespark2153@hanmail.net
900,000 원
총180시간"
11459,"중식조리기능사(실기)자격취득
(61120) 광주광역시 북구 우치로 233-1 4층 
062-269-0601
ksh20032009@naver.com
524,400 원
총69시간"
11460,"헤어 미용사(일반) 국가자격증 단기 집중 속성반 (실기)
(47357) 부산광역시 부산진구 범일로 170 (범천동) 3층, 하다뷰티아카데미서면본점미용학원 
051-807-8604
kangguun@naver.com
1,552,800 원
총240시간"
11461,"카페음료 디저트 실무
(01689) 서울특별시 노원구 상계동 동일로 1413(남성빌딩) 7,8층 
02-3391-5252
yjjo@hscook.com
246,400 원
총32시간"
11463,"ITQ(한글) 자격증 취득 과정
(14109) 경기도 안양시 동안구 경수대로 594 (호계동) 안양YWCA여성인력개발센터 
031-453-4360
anyangwwh@hanmail.net
180,000 원
총30시간"
11464,"제과기능사 자격증취득과정(이론+실기)
(631310) 경상남도 창원시 마산합포구 해운동 63번지 월드프라자 301.302.307호 
055-245-4575
newksb4575@naver.com
612,000 원
총90시간"
11465,"요양보호사 자격 취득과정
(21577) 인천광역시 남동구 남동대로 750 (구월동 유영빌딩) 4층일부, 5층일부 
032-469-1251
ywcaici@hanmail.net
880,000 원
총320시간"
11467,"피부미용사국가자격증취득(속성)과정-야간반
(500830) 광주광역시 북구 서암대로 190 3층 
062-512-1744
everycon@hanmail.net
1,294,000 원
총200시간"
11468,"실내건축 디자인(맥스 3d MAX)과정
(28575) 충청북도 청주시 서원구 사직대로 109 (사창동) 3,4,5층 
043-225-2111
greencju@naver.com
818,400 원
총120시간"
11469,"한글속기사자격증대비반(초급)
(04207) 서울특별시 마포구 마포대로14길 5 3층 
02-714-0223
7145755@hanmail.net
720,000 원
총120시간"
11470,"풀스택 프로그래밍 기술 기반의 생성형 AI 융합 개발자 양성 과정
(31144) 충청남도 천안시 동남구 대흥동 대흥로 255(화일빌딩) 3층 301호 
041-417-1130
danbi8660@hanmail.net
9,097,920 원
총960시간"
11471,"컴퓨터기초부터 ITQ(한글,엑셀,파워포인트)+컴퓨터활용능력2급 실기
(21395) 인천광역시 부평구 대정로 66 (부평동 다운타운일레븐) 508호 
032-265-8956
mj2658956@naver.com
600,000 원
총100시간"
11472,"패션의상제작과정
(08028) 서울특별시 양천구 중앙로 305 (신월동) 2층 
02-2636-8880
hd8880@hamail.net
476,640 원
총72시간"
11473,"전산세무2급
(54545) 전라북도 익산시 고봉로 308 (영등동) 창성빌딩 (3층) 
063-833-3125
zse999@naver.com
787,200 원
총120시간"
11474,"미용사(네일)자격증과정
(22102) 인천광역시 미추홀구 석정로 228 (도화동) (B1층일부,2층,3층,4층일부) / (별관) 인천시 미추홀구 주안로 84 (2층,3층) 
032-888-1655
jso1655@naver.com
1,941,000 원
총300시간"
